All_Poverty,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,falling,rising,stable,M_poverty_frac,F_poverty_frac,All_poverty_frac,M_with_frac,F_with_frac,All_with_frac,M_without_frac,F_without_frac,All_without_frac
109524,52571,56953,81294.0,100091.0,29800.0,36198.0,69577.0,57948.0,384329,40788,380762,30288,765091,71076,49.0,459.0,34.4,324.0,1.0,0.0,0.0,12366.24270494946,13855.492032599439,13098.340403292643,90405.46484850053,92631.55333900986,91499.78413403063,9594.535151499469,7368.4466609901465,8500.215865969358
129390,59724,69666,53274.0,56313.0,37428.0,37697.0,61128.0,44550.0,290726,55049,311300,42817,602026,97866,56.8,353.0,44.8,277.0,0.0,0.0,1.0,17272.503795820983,19673.158871220527,18487.138015579545,84079.53148723881,87908.79850444909,86016.98547775942,15920.468512761188,12091.201495550906,13983.014522240575
38630,18816,19814,60691.0,61694.0,63224.0,46250.0,59421.0,48178.0,117241,17433,120210,14696,237451,32129,46.9,161.0,34.7,120.0,0.0,0.0,1.0,13971.516402572137,14687.263724371043,14329.698048816677,87055.40787382865,89106.48896268512,88081.83099636472,12944.592126171348,10893.511037314871,11918.169003635285
59232,26750,32482,93623.0,97207.0,56213.0,70792.0,107531.0,61383.0,330032,36082,349501,29233,679533,65315,45.3,375.0,30.4,254.0,1.0,0.0,0.0,7306.467384475874,8576.467916796484,7952.226494533113,90144.59976947072,92281.39010492853,91231.0968143836,9855.400230529289,7718.609895071475,8768.903185616395
68017,32772,35245,63985.0,66814.0,51695.0,57699.0,68710.0,49516.0,175112,37490,186064,30108,361176,67598,42.1,189.0,29.3,134.0,0.0,0.0,1.0,15414.718582139398,16304.14669799974,15863.135358020774,82366.11132538735,86072.201765261,84234.58511943354,17633.88867461266,13927.798234739003,15765.414880566454
175690,81461,94229,96310.0,94691.0,64219.0,55508.0,116152.0,61124.0,840137,93794,849441,75798,1689578,169592,41.1,705.0,27.6,472.0,0.0,0.0,1.0,8722.378848116188,10184.287519224761,9449.915822652045,89957.07391659556,91807.73832490848,90878.0800034424,10042.926083404447,8192.261675091517,9121.919996557604
39053,17482,21571,67256.0,69441.0,63977.0,32056.0,68528.0,48648.0,115040,17940,121172,13853,236212,31793,37.6,99.0,28.4,74.0,0.0,0.0,1.0,13146.337795157167,15975.560081466394,14571.743064495065,86509.24951120469,89740.41844102944,88137.16162011903,13490.75048879531,10259.581558970562,11862.838379880974
31707,14584,17123,44620.0,45180.0,39193.0,40240.0,45983.0,36457.0,73691,13334,79630,10912,153321,24246,62.5,154.0,48.6,119.0,0.0,0.0,1.0,16758.40275782821,18911.66530449957,17856.35844498133,84677.96610169491,87948.1345673831,86345.43580732906,15322.033898305084,12051.865432616907,13654.564192670934
10026,4814,5212,37170.0,38610.0,17784.0,22230.0,39500.0,30472.0,18728,2957,19573,2444,38301,5401,60.5,44.0,48.0,35.0,0.0,0.0,1.0,22199.677196218585,23672.6166144343,22941.741796714112,86363.84597648143,88899.48676023073,87641.29788110385,13636.154023518562,11100.513239769269,12358.70211889616
55534,24891,30643,66828.0,71497.0,50790.0,50324.0,83281.0,55834.0,175710,24415,193177,19391,368887,43806,58.1,246.0,44.3,186.0,0.0,0.0,1.0,12437.726420986883,14415.622294983252,13456.491871681856,87800.1249219238,90877.7426517632,89385.33001528982,12199.875078076202,9122.257348236799,10614.669984710185
57179,26643,30536,64240.0,66800.0,60091.0,53208.0,69885.0,51334.0,208988,31276,224981,25613,433969,56889,49.5,288.0,38.4,223.0,1.0,0.0,0.0,11089.052042752972,12185.447377032171,11648.786410733857,86982.65241567609,89779.08489429115,88410.29381205971,13017.34758432391,10220.915105708837,11589.7061879403
105927,48153,57774,50125.0,51489.0,37772.0,37049.0,57620.0,42964.0,217812,41373,231370,33483,449182,74856,57.4,273.0,42.1,200.0,0.0,0.0,1.0,18578.621448000464,21813.609813745737,20213.610463363344,84037.27067538632,87357.89286887443,85715.53971276892,15962.729324613692,12642.10713112557,14284.460287231079
16743,7675,9068,52017.0,53549.0,57432.0,55156.0,51821.0,40639.0,38662,7984,41134,6258,79796,14242,56.3,56.0,48.0,48.0,0.0,0.0,1.0,16453.71521673884,19134.03106009453,17804.504561985577,82883.84856150582,86795.23970290345,84855.05859333462,17116.15143849419,13204.760297096556,15144.941406665392
125775,60834,64941,42031.0,42513.0,22458.0,36199.0,57851.0,34677.0,180176,44296,190135,35140,370311,79436,47.9,174.0,40.7,145.0,1.0,0.0,0.0,27100.930182829037,28827.433137276665,27965.72295090351,80266.58113261343,84401.28731550327,82337.62537604476,19733.41886738658,15598.712684496726,17662.374623955246
7010,3092,3918,50306.0,50883.0,30972.0,43182.0,52330.0,48225.0,22107,3017,23557,2159,45664,5176,58.0,52.0,37.6,35.0,0.0,0.0,1.0,12306.957490845407,15235.650956602893,13788.355625491738,87991.56185320808,91604.44859231607,89819.04012588513,12008.438146791912,8395.551407683932,10180.95987411487
